rank,id,lon,lat,area,source,
1,6040007000,-51.08125,-0.66875,5912760.32,hydrosheds,
2,6040239720,-51.79791667,-1.497916667,5393040.64,hydrosheds,
3,6040262110,-54.73541667,-2.402083333,4696940.16,hydrosheds,
4,1040020040,12.46458333,-6.06875,3705301.76,hydrosheds,
5,7040047060,-89.26458333,29.11041667,3179500.16,hydrosheds,
6,6040285930,-58.63541667,-3.35625,2937678.4,hydrosheds,
7,7040741770,-91.65625,30.98958333,2934853.12,hydrosheds,
8,1040034260,30.38541667,31.44375,2916808.32,hydrosheds,
9,1041213630,16.18541667,-3.185416667,2708456.64,hydrosheds,
10,6040016970,-58.52291667,-33.93541667,2594298.24,hydrosheds,
11,3040004740,84.52708333,69.62708333,2489752,hydrosheds,
12,7040686540,-91.10208333,33.77291667,2469256,hydrosheds,
13,3040001840,69.99791667,66.78125,2467589.28,hydrosheds,
14,3040009130,128.5645833,72.00208333,2453575.04,hydrosheds,
15,1041174960,16.77708333,-1.347916667,2355752.48,hydrosheds,
16,3040203310,65.78125,66.13958333,2278501.44,hydrosheds,
17,6040870380,-60.57708333,-31.72291667,2249532.96,hydrosheds,
18,6040280410,-59.90208333,-3.14375,2216711.04,hydrosheds,
19,1040022420,6.06875,4.39375,2098663.68,hydrosheds,
20,1040526970,33.97291667,17.67291667,2045604.8,hydrosheds,
21,4040000880,140.70625,53.11458333,1998203.36,hydrosheds,
22,4040009880,120.2354167,31.93958333,1909198.56,hydrosheds,
23,3040216320,87.98125,65.76458333,1875384.64,hydrosheds,
24,4127502,-89.8362,37.9028,1835274,grdc,
25,7040612840,-89.12708333,36.98125,1815893.44,hydrosheds,
26,8040009560,-135.15625,69.24791667,1795841.44,hydrosheds,
27,4040694350,119.80625,32.31041667,1732696.8,hydrosheds,
28,1040909890,6.752083333,7.78125,1730224.8,hydrosheds,
29,3040264560,126.4354167,64.38541667,1703180.96,hydrosheds,
30,1041156960,17.71458333,-0.572916667,1693384.48,hydrosheds,
31,1040601190,32.50208333,15.63958333,1670929.92,hydrosheds,
32,4040169390,135.0479167,48.46458333,1578542.88,hydrosheds,
