-9,1,2,3,4
1,1,-51.08125,-0.66875,5912760.32
2,2,-51.79791667,-1.497916667,5393040.64
3,3,-54.73541667,-2.402083333,4696940.16
4,4,12.46458333,-6.06875,3705301.76
5,5,-89.26458333,29.11041667,3179500.16
6,6,-58.63541667,-3.35625,2937678.4
7,7,-91.65625,30.98958333,2934853.12
8,8,30.38541667,31.44375,2916808.32
9,9,16.18541667,-3.185416667,2708456.64
10,10,-58.52291667,-33.93541667,2594298.24
11,11,84.52708333,69.62708333,2489752
12,12,-91.10208333,33.77291667,2469256
13,13,69.99791667,66.78125,2467589.28
14,14,128.5645833,72.00208333,2453575.04
15,15,16.77708333,-1.347916667,2355752.48
16,16,65.78125,66.13958333,2278501.44
17,17,-60.57708333,-31.72291667,2249532.96
18,18,-59.90208333,-3.14375,2216711.04
19,19,6.06875,4.39375,2098663.68
20,20,33.97291667,17.67291667,2045604.8
21,21,140.70625,53.11458333,1998203.36
22,22,120.2354167,31.93958333,1909198.56
23,23,87.98125,65.76458333,1875384.64
24,24,-89.8362,37.9028,1835274
25,25,-89.12708333,36.98125,1815893.44
26,26,-135.15625,69.24791667,1795841.44
27,27,119.80625,32.31041667,1732696.8
28,28,6.752083333,7.78125,1730224.8
29,29,126.4354167,64.38541667,1703180.96
30,30,17.71458333,-0.572916667,1693384.48
31,31,32.50208333,15.63958333,1670929.92
32,32,135.0479167,48.46458333,1578542.88
33,33,90.63125,23.22291667,1574223.84
34,34,90.12291667,61.57708333,1519703.04
35,35,116.2354167,29.76458333,1493199.36
36,36,90.60208333,23.27708333,1488646.56
37,37,-125.60625,64.89375,1434157.12
38,38,47.71875,45.59375,1404107.68
39,39,36.25625,-18.80208333,1378121.12
40,40,-58.63541667,-3.360416667,1368840.32
41,41,4.11875,11.38541667,1360282.56
42,42,-90.11875,38.81041667,1326743.36
43,43,114.2854167,30.56458333,1293973.84
44,44,35.31875,-17.69791667,1205882.24
45,45,31.56458333,9.385416667,1197395.76
46,46,68.79375,61.08125,1139612
47,47,-58.64791667,-27.34375,1136980.4
48,48,-71.19375,46.81458333,1053293.76
49,49,-121.30625,61.86041667,1039671.52
50,50,68.79375,61.08541667,1037760.96
51,51,92.98541667,58.09791667,1034536.08
52,52,113.1395833,29.46041667,1011219.84
53,53,-92.73958333,56.93541667,1004347.44
54,54,140.275,-34.1787,1000001
55,55,132.51875,47.70208333,999994.4
56,56,141.597,-34.1915,991000
57,57,-72.52291667,46.33541667,986574.32
58,58,14.52708333,13.07708333,980211.84
59,59,139.616,-34.3509,955018
60,60,-58.64375,-27.34375,951736.72
61,61,89.73958333,23.79791667,944594.96
62,62,-60.98125,8.577083333,938384.24
63,63,129.36875,63.46875,917135.44
64,64,90.37291667,40.20208333,909036.72
65,65,16.18958333,-3.185416667,894486.56
66,66,16.45208333,-28.63125,884883.04
67,67,30.41875,-15.62291667,859018.4
68,68,67.65208333,24.08125,854649.92
69,69,-95.9225,41.2589,846305.8
70,70,-164.4645833,63.03125,832828.72
71,71,-62.71875,8.352083333,830662.32
72,72,48.46041667,29.99375,829646.88
73,73,17.17708333,-28.10208333,796731.2
74,74,29.69791667,45.24791667,786750
75,75,-73.78541667,45.39375,782539.6
76,76,139.38125,-35.34791667,775219.84
77,77,106.2520833,9.614583333,774281.52
78,78,-49.39791667,-2.189583333,772470.48
79,79,90.37291667,40.19791667,767613.68
80,80,119.1729167,37.76875,761253.28
81,81,48.16041667,30.42708333,756435.6
